idnum,lon,lat,dens.cvap.std,dens.work.std,popDens.std,prc.CarAccess.std,prc.ElNonReg.std,prc.disabled.std,prc.latino.std,prc.nonEngProf.std,prc.pov.std,prc.youth.std,rate.vbm.std,dens.poll.std,center_score,droppoff_score
638,-121.96493,38.52593,0.02055,0.84209,0.92235,0.38173,0.82936,0.62838,0.64339,0.49168,0.2522,0.43524,0.6385,0.98369,0.58025,0.57429
737,-121.55173,38.53913,0.83817,0.95041,0.52561,0.18499,0.3814,0.10016,0.24111,0.05122,0.34029,0.8,0.40555,1.0,0.42477,0.41453
785,-121.71726,38.5441,0.77586,0.91223,0.73834,0.8721,0.94192,0.13997,0.32202,0.56117,0.9739,0.96248,0.39511,0.99837,0.65333,0.62724
845,-121.78175,38.55036,0.24078,0.92496,0.56313,0.64437,0.93997,0.11387,0.1553,0.03034,0.93605,0.96052,0.21664,0.98564,0.54975,0.51619
916,-121.74516,38.55809,0.80881,0.99706,0.0,0.81631,0.90082,0.05579,0.0584,0.14519,0.89918,0.90897,1.0,0.0,0.6458,0.63851
1142,-121.53425,38.58254,0.55269,0.0,0.74649,0.89005,0.29462,0.55334,0.47504,0.94682,0.8186,0.62316,0.57847,0.82969,0.62209,0.62594
1212,-121.5252,38.58986,0.50734,0.91485,0.87015,0.95302,0.35824,0.40685,0.49299,0.83361,0.84992,0.8137,0.42806,0.97618,0.63774,0.64052
1922,-121.75691,38.6659,0.25612,0.90506,0.98369,0.78695,0.64013,0.39804,0.99152,0.9168,0.8,0.79119,0.4894,0.99282,0.69496,0.68967
1924,-121.7385,38.66616,0.04992,0.70669,0.80783,0.70147,0.23328,0.33246,0.59674,0.57259,0.50245,0.64111,0.41142,0.96542,0.53779,0.53887
1983,-121.79389,38.67255,0.85188,0.90408,0.0,0.92431,0.80816,0.53214,0.97031,0.92561,0.61142,0.41403,1.0,0.0,0.70999,0.72144
2049,-121.77566,38.68002,0.93181,0.70669,0.92626,0.73051,0.83687,0.73442,0.5752,0.47015,0.48091,0.22936,0.68418,0.83524,0.64878,0.64508
2213,-122.02475,38.69771,0.68744,0.0,0.44078,0.57357,0.45383,0.75595,0.72072,0.59478,0.36672,0.29462,0.33997,0.92953,0.4669,0.46297
3776,-121.95547,38.86442,0.25612,0.81077,0.40261,0.31223,0.65253,0.84437,0.80914,0.71778,0.63263,0.02023,0.53344,0.71485,0.55018,0.55965
