geoid,countyfp,prc_nonengprof_final,prc_nonengprof_final_unreliable_flag,prc_caraccess_final,prc_caraccess_final_unreliable_flag,prcdisabled_final,prcdisabled_final_unreliable_flag,prc_pov_final,prc_pov_final_unreliable_flag,prc_youth_final,prc_youth_final_unreliable_flag,prc_asian,prc_asian_unreliable_flag,prc_black,prc_black_unreliable_flag,prc_latino,prc_latino_unreliable_flag,prc_native,prc_native_unreliable_flag,prc_white,prc_white_unreliable_flag,prc_centralamerican,prc_centralamerican_unreliable_flag,prc_cuban,prc_cuban_unreliable_flag,prc_dominican,prc_dominican_unreliable_flag,prc_mexican,prc_mexican_unreliable_flag,prc_puertorican,prc_puertorican_unreliable_flag,prc_southam,prc_southam_unreliable_flag,prc_asianindian,prc_asianindian_unreliable_flag,prc_chinese,prc_chinese_unreliable_flag,prc_filipino,prc_filipino_unreliable_flag,prc_japanese,prc_japanese_unreliable_flag,prc_korean,prc_korean_unreliable_flag,prc_vietnamese,prc_vietnamese_unreliable_flag,cvapdens,tot_elignonreg_prc_final,tot_elignonreg_prc_final_unreliable_flag,job_dens,pollvoter_dens,pop20,areakm,popdens,vbm_tot_2016,vbm_lat_2016,vbm_asn_2016,vbm_youth_2016,vbm_blk_2016,turnout_tot_2016,turnout_lat_2016,turnout_asn_2016,turnout_youth_2016,turnout_blk_2016,tot_elignonreg_prc_final_dup_flag_x,vbm_tot_2020,vbm_lat_2020,vbm_asn_2020,vbm_youth_2020,vbm_blk_2020,turnout_tot_2020,turnout_lat_2020,turnout_asn_2020,turnout_youth_2020,turnout_blk_2020,tot_elignonreg_prc_final_dup_flag_y
6013301000,13.0,0.07114,1.0,0.94152,0.0,0.13538,0.0,0.12502,0.0,0.09476,1.0,0.02816,1.0,0.08971,0.0,0.22272,0.0,0.0,1.0,0.62233,0.0,0.0068,1.0,0.00175,1.0,0.0,1.0,0.18505,0.0,0.00544,1.0,0.0,1.0,0.0,1.0,0.0035,1.0,0.01243,1.0,0.0,1.0,0.00524,1.0,0.00466,1.0,0.0049,0.0,1.0,0.00082,0.00758,5527.0,121.76736,45.38983,0.6209,0.58855,0.70809,0.58689,,0.74205,0.68547,0.65572,0.52409,,0.0,0.84977,0.86725,0.9076,0.85294,,0.79702,0.7707,0.83749,0.61038,,0.0
6013302005,13.0,0.1017,0.0,0.94137,0.0,0.12498,0.0,0.06812,0.0,0.10684,1.0,0.03659,1.0,0.14695,0.0,0.33276,0.0,0.00479,1.0,0.40781,0.0,0.01496,1.0,0.0,1.0,0.0,1.0,0.3121,0.0,0.00347,1.0,0.00151,1.0,0.00219,1.0,0.0084,1.0,0.02318,1.0,0.00274,1.0,0.0,1.0,0.0,1.0,0.0058,0.0,1.0,0.00512,0.00706,7148.0,3.57698,1998.33503,0.60971,0.54402,0.65389,0.56212,,0.68429,0.66165,0.73495,0.52745,,0.0,0.88452,0.88738,0.92893,0.88376,,0.75518,0.72061,0.78968,0.64397,,0.0
6013302006,13.0,0.09186,0.0,0.93207,0.0,0.09863,0.0,0.06285,1.0,0.06023,1.0,0.07485,0.0,0.06169,1.0,0.35131,0.0,9e-05,1.0,0.47097,0.0,0.04109,1.0,0.0,1.0,0.0,1.0,0.24131,0.0,0.05611,0.0,0.00638,1.0,0.00059,1.0,0.00498,1.0,0.03873,0.0,0.0,1.0,0.0,1.0,0.00797,1.0,0.00326,0.0,1.0,0.00092,0.00404,4040.0,14.50056,278.60986,0.62492,0.61989,0.74725,0.65464,,0.71014,0.68501,0.73666,0.59189,,0.0,0.89817,0.92329,0.93593,0.92136,,0.7843,0.76138,0.68485,0.67449,,0.0
6013302007,13.0,0.08825,0.0,0.93338,0.0,0.11653,0.0,0.12768,0.0,0.13152,1.0,0.06464,0.0,0.07972,0.0,0.38743,0.0,0.01022,1.0,0.3935,0.0,0.01418,1.0,0.0,1.0,0.0,1.0,0.34455,0.0,0.00376,1.0,0.00422,1.0,0.01536,1.0,0.00781,1.0,0.02645,1.0,0.0,1.0,0.003,1.0,2e-05,1.0,0.00545,0.0,1.0,0.00271,0.00761,7430.0,4.33425,1714.25436,0.61004,0.62129,0.66984,0.55241,,0.69522,0.67325,0.62543,0.52201,,0.0,0.88195,0.89741,0.89466,0.90318,,0.7796,0.73561,0.76049,0.70947,,0.0
6013302009,13.0,0.2098,0.0,0.96981,0.0,0.09754,0.0,0.1416,0.0,0.12283,1.0,0.22879,0.0,0.20618,0.0,0.29757,0.0,7e-05,1.0,0.22,0.0,0.08323,1.0,6e-05,1.0,0.0015,1.0,0.17381,0.0,0.02133,1.0,0.00395,1.0,0.01034,1.0,0.03722,1.0,0.13842,0.0,2e-05,1.0,0.00209,1.0,0.02019,1.0,0.00617,0.0,1.0,0.00498,0.00697,7830.0,5.27701,1483.79349,0.60213,0.57371,0.73967,0.52218,,0.70541,0.68338,0.62421,0.5119,,0.0,0.90392,0.90511,0.92853,0.89801,,0.78092,0.78141,0.75792,0.67354,,0.0
6013302011,13.0,0.07248,1.0,0.96803,0.0,0.11017,0.0,0.08316,0.0,0.11835,1.0,0.06421,0.0,0.10767,0.0,0.40453,0.0,0.00828,1.0,0.34765,0.0,0.04405,1.0,1e-05,1.0,0.0,1.0,0.33711,0.0,0.00252,1.0,0.0084,1.0,0.03018,1.0,1e-05,1.0,0.01968,1.0,0.0,1.0,2e-05,1.0,0.01023,1.0,0.00349,0.0,1.0,0.00171,0.00554,5409.0,16.47268,328.36193,,,,,,,,,,,,0.88662,0.89323,0.90559,0.87652,,0.78302,0.73748,0.78776,0.6967,,0.0
6013302012,13.0,0.07249,1.0,0.96817,0.0,0.11007,0.0,0.08301,0.0,0.11844,1.0,0.06434,0.0,0.10773,0.0,0.40519,0.0,0.00831,1.0,0.34666,0.0,0.04419,1.0,0.0,1.0,0.0,1.0,0.33766,0.0,0.00251,1.0,0.00843,1.0,0.03029,1.0,0.0,1.0,0.0197,1.0,0.0,1.0,0.0,1.0,0.01025,1.0,0.00345,0.0,1.0,0.00086,0.00508,5363.0,2.96557,1808.41896,,,,,,,,,,,,0.89098,0.90576,0.93446,0.89298,,0.77219,0.75751,0.77778,0.663,,0.0
6013302013,13.0,0.11666,0.0,0.96481,0.0,0.10337,0.0,0.02517,0.0,0.09915,1.0,0.08224,0.0,0.044,0.0,0.32146,0.0,0.00067,1.0,0.45933,0.0,0.01879,0.0,0.00213,1.0,1e-05,1.0,0.26224,0.0,0.02215,1.0,0.00291,1.0,8e-05,1.0,0.02204,1.0,0.02373,1.0,4e-05,1.0,2e-05,1.0,0.00019,1.0,0.00302,0.0,1.0,0.0009,0.00529,3363.0,3.07779,1092.66795,,,,,,,,,,,,0.8611,0.86212,0.91117,0.88267,,0.8238,0.81043,0.79882,0.7463,,0.0
6013302014,13.0,0.11584,0.0,0.96467,0.0,0.10302,0.0,0.02396,0.0,0.09884,1.0,0.07988,0.0,0.04173,0.0,0.32217,0.0,0.00068,1.0,0.46239,0.0,0.01802,0.0,0.00212,1.0,0.0,1.0,0.26387,0.0,0.0221,1.0,0.00289,1.0,0.0,1.0,0.02167,1.0,0.02167,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.00699,0.0,1.0,0.00322,0.01057,7925.0,3.84098,2063.27619,,,,,,,,,,,,0.8702,0.89854,0.86658,0.86549,,0.79971,0.75043,0.7876,0.73242,,0.0
6013303104,13.0,0.08909,0.0,1.0,0.0,0.08779,0.0,0.06022,0.0,0.08,1.0,0.14109,0.0,0.09725,0.0,0.26566,0.0,0.0,1.0,0.45132,0.0,0.03917,1.0,0.0,1.0,0.0,1.0,0.19626,0.0,0.01465,1.0,0.00665,1.0,0.05278,1.0,0.00145,1.0,0.07356,0.0,0.00468,1.0,0.0,1.0,0.0,1.0,0.00545,0.0,1.0,0.00147,0.00718,7212.0,4.3375,1662.71028,,,,,,,,,,,,0.89885,0.92504,0.92668,0.89471,,0.83547,0.78103,0.82094,0.75258,,0.0
