geoid,countyfp,prc_nonengprof_final,prc_nonengprof_final_unreliable_flag,prc_caraccess_final,prc_caraccess_final_unreliable_flag,prcdisabled_final,prcdisabled_final_unreliable_flag,prc_pov_final,prc_pov_final_unreliable_flag,prc_youth_final,prc_youth_final_unreliable_flag,prc_asian,prc_asian_unreliable_flag,prc_black,prc_black_unreliable_flag,prc_latino,prc_latino_unreliable_flag,prc_native,prc_native_unreliable_flag,prc_white,prc_white_unreliable_flag,prc_centralamerican,prc_centralamerican_unreliable_flag,prc_cuban,prc_cuban_unreliable_flag,prc_dominican,prc_dominican_unreliable_flag,prc_mexican,prc_mexican_unreliable_flag,prc_puertorican,prc_puertorican_unreliable_flag,prc_southam,prc_southam_unreliable_flag,prc_asianindian,prc_asianindian_unreliable_flag,prc_chinese,prc_chinese_unreliable_flag,prc_filipino,prc_filipino_unreliable_flag,prc_japanese,prc_japanese_unreliable_flag,prc_korean,prc_korean_unreliable_flag,prc_vietnamese,prc_vietnamese_unreliable_flag,cvapdens,tot_elignonreg_prc_final,tot_elignonreg_prc_final_unreliable_flag,job_dens,pollvoter_dens,pop20,areakm,popdens,vbm_tot_2016,vbm_lat_2016,vbm_asn_2016,vbm_youth_2016,turnout_tot_2016,turnout_lat_2016,turnout_asn_2016,turnout_youth_2016,vbm_tot_2020,vbm_lat_2020,vbm_asn_2020,vbm_youth_2020,turnout_tot_2020,turnout_lat_2020,turnout_asn_2020,turnout_youth_2020
6111000302,111.0,0.15177,0.0,0.92063,0.0,0.14353,0.0,0.09204,0.0,0.13491,1.0,0.01223,1.0,0.0,1.0,0.72133,0.0,0.01017,1.0,0.23507,0.0,0.03028,1.0,0.0,1.0,0.0,1.0,0.67204,0.0,0.0,1.0,0.0046,1.0,0.0,1.0,0.0,1.0,0.00266,1.0,0.00194,1.0,0.0,1.0,0.00472,1.0,0.00806,0.05613,0.0,0.00591,0.01056,8116.0,103.60668,78.33472,0.51839,0.47456,0.37065,0.4889,0.76739,0.72343,0.81035,0.6019,0.8775,0.87902,0.9061,0.84442,0.80196,0.76293,0.77569,0.70036
6111000303,111.0,0.17611,0.0,0.94929,0.0,0.05076,1.0,0.03463,0.0,0.08865,1.0,0.00493,1.0,0.00847,1.0,0.72754,0.0,0.0,1.0,0.25079,0.0,0.01024,1.0,0.0,1.0,0.0,1.0,0.68282,0.0,0.0,1.0,0.00512,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.00138,1.0,0.00217,1.0,0.00138,1.0,0.00523,0.33964,0.0,0.00415,0.0054,5207.0,37.4117,139.18105,0.53759,0.50237,0.39138,0.54184,0.77034,0.73228,0.82112,0.5984,0.86539,0.86508,0.86501,0.85229,0.80964,0.78327,0.84052,0.72753
6111000304,111.0,0.17174,0.0,0.98719,0.0,0.06837,0.0,0.1245,0.0,0.11007,1.0,0.00865,1.0,0.0,1.0,0.74783,0.0,0.0,1.0,0.23744,0.0,0.00865,1.0,0.0,1.0,0.0,1.0,0.73193,0.0,0.0,1.0,0.00631,1.0,0.00467,1.0,0.00397,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.00408,0.19571,0.0,0.00392,0.00464,4836.0,44.89515,107.71765,0.55922,0.51342,0.51677,0.50055,0.73984,0.6964,0.79205,0.55418,0.87362,0.87264,0.87844,0.83196,0.77117,0.73276,0.87709,0.67569
6111000400,111.0,0.25092,0.0,0.98841,0.0,0.07247,0.0,0.16287,0.0,0.1513,0.0,0.01163,1.0,0.00282,1.0,0.76731,0.0,0.00083,1.0,0.20993,0.0,0.001,1.0,0.00183,1.0,0.00814,1.0,0.74938,0.0,0.0,1.0,0.00083,1.0,0.0083,1.0,0.00116,1.0,0.00066,1.0,0.00017,1.0,0.00133,1.0,0.0,1.0,0.00547,0.03863,0.0,0.00185,0.00603,6367.0,40.63718,156.6792,0.60575,0.52848,0.69388,0.55658,0.76953,0.71671,0.81808,0.59748,0.89887,0.89031,0.97914,0.85897,0.79754,0.76301,0.69999,0.67501
6111000500,111.0,0.18228,0.0,0.86747,0.0,0.11266,1.0,0.11938,0.0,0.05068,1.0,0.01414,1.0,0.0,1.0,0.59163,0.0,0.0,1.0,0.39246,0.0,0.06718,1.0,0.0,1.0,0.0,1.0,0.5221,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.00825,1.0,0.0,1.0,0.00236,1.0,0.01414,1.0,0.0,1.0,0.00164,0.06908,0.0,0.0073,0.00124,1795.0,53.37177,33.63201,0.70892,0.59746,0.82834,0.6498,0.76518,0.7281,0.70709,0.62793,0.92345,0.91772,0.88665,0.91701,0.80018,0.7596,0.86021,0.66711
6111000600,111.0,0.36202,0.0,0.84243,0.0,0.14742,0.0,0.24496,0.0,0.10957,1.0,0.00553,1.0,0.00888,1.0,0.91372,0.0,0.0,1.0,0.06567,0.0,0.01608,1.0,0.0,1.0,0.0,1.0,0.88105,0.0,0.01508,1.0,0.0,1.0,0.00235,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.00017,1.0,0.00369,0.08859,0.0,0.00723,0.00543,6254.0,1.91391,3267.65564,0.51566,0.47011,0.43533,0.46503,0.70843,0.69625,0.66174,0.56202,0.85543,0.85219,0.71067,0.79989,0.73503,0.7116,0.66985,0.66993
6111000701,111.0,0.34625,0.0,0.95826,0.0,0.09436,0.0,0.12694,0.0,0.1268,0.0,0.02238,1.0,0.00013,1.0,0.88039,0.0,0.0028,1.0,0.06939,0.0,0.01425,1.0,0.0,1.0,0.0,1.0,0.86241,0.0,0.00186,1.0,0.0,1.0,0.0,1.0,0.00293,1.0,0.00186,1.0,0.0,1.0,0.0,1.0,0.01758,1.0,0.00486,0.11867,0.0,0.00475,0.00584,6995.0,1.43087,4888.63836,0.58911,0.56098,0.61567,0.54138,0.72983,0.70897,0.66181,0.59181,0.88432,0.88254,0.86887,0.84784,0.77043,0.75045,0.8091,0.69365
6111000702,111.0,0.17742,0.0,0.96953,0.0,0.11283,0.0,0.04219,1.0,0.0966,1.0,0.00586,1.0,0.00154,1.0,0.82654,0.0,0.0,1.0,0.14228,0.0,0.00556,1.0,0.0,1.0,0.0,1.0,0.80679,0.0,0.0,1.0,0.0,1.0,0.00463,1.0,0.00278,1.0,0.00432,1.0,0.0,1.0,0.00154,1.0,0.0,1.0,0.00302,0.18453,0.0,0.00133,0.00283,3122.0,0.78965,3953.62999,0.55844,0.52747,0.5,0.48797,0.79251,0.77576,0.71429,0.6345,0.90609,0.89895,0.83744,0.86819,0.80666,0.78895,0.83004,0.73475
6111000800,111.0,0.21031,0.0,0.96962,0.0,0.05862,1.0,0.08517,0.0,0.09876,1.0,0.01359,1.0,0.00165,1.0,0.68045,0.0,0.00177,1.0,0.28576,0.0,0.00626,1.0,0.0,1.0,0.0,1.0,0.66462,0.0,0.00059,1.0,0.00177,1.0,0.00638,1.0,0.00189,1.0,0.00319,1.0,0.00201,1.0,0.0,1.0,0.0,1.0,0.00811,0.11198,0.0,0.00643,0.00799,8753.0,96.22973,90.95942,0.64116,0.5666,0.73782,0.5384,0.79275,0.74739,0.62777,0.58086,0.89924,0.89041,0.97063,0.85875,0.81055,0.76645,0.77612,0.68419
6111000901,111.0,0.03205,1.0,0.88504,0.0,0.04721,1.0,0.04927,0.0,0.05274,1.0,0.01159,1.0,0.0028,1.0,0.12628,0.0,0.0,1.0,0.85294,0.0,0.0036,1.0,0.0032,1.0,0.0,1.0,0.11389,0.0,0.0,1.0,0.0012,1.0,0.0,1.0,0.01158,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.00409,0.12382,0.0,0.0035,0.00259,2561.0,9.90838,258.46807,0.69443,0.67117,0.7525,0.75557,0.87038,0.77962,0.88416,0.75024,0.93104,0.90381,0.99503,0.94962,0.90999,0.8443,0.90798,0.82536
6111000902,111.0,0.02859,1.0,0.93341,0.0,0.11151,0.0,0.09724,0.0,0.04492,1.0,0.01678,1.0,0.00346,1.0,0.15104,0.0,0.00148,1.0,0.82083,0.0,0.00543,1.0,0.00543,1.0,0.0,1.0,0.13031,0.0,0.0,1.0,0.00296,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.01431,1.0,0.0,1.0,0.0,1.0,0.0031,0.0,1.0,0.00822,0.00253,2108.0,51.95963,40.56996,0.77159,0.65715,0.66319,0.75936,0.83819,0.82284,0.74033,0.71624,0.92169,0.89176,0.84257,0.92038,0.88727,0.82141,0.85576,0.78732
6111000903,111.0,0.07016,0.0,0.95573,0.0,0.11118,0.0,0.02953,1.0,0.07175,1.0,0.04407,1.0,0.00154,1.0,0.18739,0.0,0.0,1.0,0.7412,0.0,0.0205,1.0,0.0,1.0,0.0,1.0,0.13546,0.0,0.0,1.0,0.03143,1.0,0.00649,1.0,0.00752,1.0,0.01982,1.0,0.00564,1.0,0.00273,1.0,0.00273,1.0,0.00858,0.07535,0.0,0.0066,0.00721,5701.0,134.53798,42.37465,0.58792,0.525,0.62147,0.60885,0.83525,0.76487,0.79662,0.69038,0.91184,0.88771,0.80921,0.90772,0.88921,0.80533,0.87809,0.77535
6111001002,111.0,0.12766,0.0,0.99337,0.0,0.08626,1.0,0.0807,0.0,0.07456,1.0,0.01211,1.0,0.00283,1.0,0.26947,0.0,0.0,1.0,0.66698,0.0,0.01337,1.0,0.0,1.0,0.0,1.0,0.24902,0.0,0.0,1.0,0.00708,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.00189,1.0,0.01022,1.0,0.0,1.0,0.00881,0.00836,0.0,0.00403,0.00765,6953.0,8.26792,840.9617,0.66739,0.56036,0.80176,0.56746,0.82798,0.7741,0.82163,0.66608,0.91584,0.89195,0.93603,0.87425,0.8734,0.81474,0.873,0.71581
6111001101,111.0,0.07754,0.0,0.95193,0.0,0.11911,0.0,0.0585,0.0,0.07081,1.0,0.01029,1.0,0.0,1.0,0.31168,0.0,0.01836,1.0,0.63123,0.0,0.0,1.0,0.00222,1.0,0.0,1.0,0.26548,0.0,0.00121,1.0,0.02623,1.0,0.0,1.0,0.0,1.0,0.00807,1.0,0.00081,1.0,0.0,1.0,0.0,1.0,0.00677,0.12699,0.0,0.00189,0.00579,4720.0,4.12116,1145.30936,0.75953,0.65034,0.90401,0.6692,0.83801,0.77297,0.8315,0.64056,0.9078,0.88083,0.91998,0.84249,0.86571,0.79981,0.92437,0.76997
6111001102,111.0,0.05857,0.0,0.9998,0.0,0.12015,0.0,0.06293,0.0,0.06361,1.0,0.00849,1.0,0.00055,1.0,0.19279,0.0,0.0,1.0,0.77934,0.0,0.02236,1.0,1e-05,1.0,0.0,1.0,0.14777,0.0,0.0,1.0,0.01036,1.0,0.0,1.0,0.0,1.0,0.00545,1.0,0.00303,1.0,0.0,1.0,0.0,1.0,0.00546,0.08667,0.0,0.0021,0.00428,3663.0,8.20864,446.23717,0.82601,0.77888,0.86364,0.80465,0.84623,0.74406,0.75862,0.66925,0.91825,0.8969,0.91221,0.90476,0.88977,0.82424,0.94305,0.77366
6111001201,111.0,0.03832,0.0,0.87307,0.0,0.11441,0.0,0.08653,0.0,0.09034,1.0,0.02429,1.0,0.08199,0.0,0.44317,0.0,0.0,1.0,0.43151,0.0,0.0,1.0,0.01496,1.0,0.0,1.0,0.41111,0.0,0.00874,1.0,0.00291,1.0,0.00622,1.0,0.00155,1.0,0.01613,1.0,0.00175,1.0,0.0,1.0,0.00389,1.0,0.00668,0.05072,0.0,0.00213,0.00591,6027.0,6.64401,907.1334,0.64207,0.54874,0.75885,0.58361,0.78344,0.72586,0.73938,0.5794,0.91314,0.88546,0.9104,0.886,0.8398,0.79283,0.69886,0.72523
6111001202,111.0,0.04232,1.0,0.9831,0.0,0.07582,0.0,0.02915,1.0,0.07691,1.0,0.06947,0.0,0.01733,1.0,0.24617,0.0,0.00014,1.0,0.64536,0.0,0.03724,1.0,0.0,1.0,0.0,1.0,0.16452,0.0,0.00244,1.0,0.03277,1.0,0.0,1.0,0.01625,1.0,0.01747,1.0,0.02261,0.0,0.00014,1.0,0.0023,1.0,0.01006,0.03246,0.0,0.0023,0.00764,6961.0,2.96883,2344.69168,0.61681,0.5768,0.67347,0.57923,0.84908,0.80105,0.76562,0.65827,0.92733,0.91037,0.96241,0.90929,0.89203,0.84984,0.86364,0.7969
6111001204,111.0,0.16214,0.0,0.99998,0.0,0.0844,0.0,0.12749,0.0,0.10935,1.0,0.00396,1.0,0.01021,1.0,0.54838,0.0,0.00461,1.0,0.40485,0.0,0.01383,1.0,0.0,1.0,0.0,1.0,0.52071,0.0,0.0056,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.00099,1.0,0.0,1.0,0.0,1.0,0.00296,1.0,0.0034,0.29568,0.0,0.00196,0.00329,2632.0,120.97549,21.75647,0.68545,0.57695,0.62872,0.60564,0.76436,0.69683,0.78219,0.62001,0.8707,0.87696,0.9,0.87474,0.81281,0.75001,0.66671,0.735
